t,drain_voltage,drain_current,drain_resistance,gate_voltage,gate_current
1762449465.1647909,0.0500121,3.80108e-06,13.157339492986203,0.999972,1.84648e-08
1762449466.188189,0.0500102,3.7943e-06,13.180349471575784,0.999972,1.80773e-08
1762449467.2122114,0.0500068,3.77581e-06,13.243992679716404,0.999972,1.58112e-08
1762449468.2354703,0.0500122,3.75225e-06,13.328589512958892,0.999973,1.75773e-08
1762449469.2587698,0.0500106,3.72707e-06,13.418207868379184,0.999976,1.8364e-08
1762449470.2831764,0.0500074,3.69765e-06,13.524103146593106,0.999976,1.80874e-08
1762449471.3065338,0.0500078,3.67141e-06,13.620870455764951,0.999973,1.66604e-08
1762449472.329651,0.0500099,3.6459e-06,13.716750322279822,0.999974,1.70813e-08
1762449473.353599,0.0500074,3.61624e-06,13.828562263566576,0.999972,1.77563e-08
1762449474.3772974,0.0500106,3.58978e-06,13.931382981686902,0.999973,1.69264e-08
1762449475.4006615,0.0500085,3.56155e-06,14.04121800901293,0.999972,1.83269e-08
1762449476.424442,0.05001,3.53444e-06,14.149341904233768,0.999974,1.721e-08
1762449478.2798502,0.050009,3.48478e-06,14.350690717921934,0.999978,1.9141e-08
1762449479.302979,0.0500075,3.46148e-06,14.44685510244173,0.999978,1.57209e-08
1762449480.327029,0.0500064,3.43662e-06,14.551041430242504,0.999977,1.70575e-08
1762449481.350158,0.0500072,3.41125e-06,14.659494320263834,0.999973,1.56179e-08
1762449482.3738813,0.0500096,3.38503e-06,14.773753851516826,0.999975,1.62714e-08
1762449483.397688,0.0500074,3.35779e-06,14.892950422748296,0.999974,1.6053e-08
1762449484.4210708,0.0500108,3.33438e-06,14.99853046143511,0.999975,1.57054e-08
1762449485.4447942,0.0500129,3.31211e-06,15.100011774971243,0.999972,1.738e-08
1762449486.4680302,0.0500091,3.28761e-06,15.211384562037468,0.99997,1.67499e-08
1762449487.491898,0.0500081,3.26555e-06,15.313836872808562,0.999971,1.6856e-08
1762449488.515618,0.0500088,3.23965e-06,15.43648233605482,0.999971,1.82051e-08
1762449489.5390797,0.0500103,3.21901e-06,15.535925641734572,0.999972,1.73038e-08
1762449490.5627682,0.0500095,3.19523e-06,15.651298967523465,0.999971,1.69894e-08
1762449491.5858483,0.0500069,3.17336e-06,15.758344467693549,0.999972,1.69987e-08
1762449492.6099198,0.0500074,3.15281e-06,15.861215867749722,0.999976,1.62137e-08
1762449494.4655523,0.0500113,3.11488e-06,16.055610489007606,0.999976,1.65841e-08
1762449495.4891825,0.0500119,3.09365e-06,16.16598516315679,0.999977,1.55141e-08
1762449496.5122924,0.0500094,3.07197e-06,16.27926053965371,0.999978,1.73032e-08
1762449497.5360978,0.0500059,3.05283e-06,16.380178391852805,0.999979,1.58966e-08
1762449498.5597537,0.0500094,3.03072e-06,16.500831485587582,0.999978,1.68922e-08
1762449499.582856,0.0500079,3.01219e-06,16.601841185316996,0.999977,1.54558e-08
1762449500.6068618,0.0500069,2.99113e-06,16.718397394964445,0.999977,1.60106e-08
1762449501.630736,0.0500084,2.97274e-06,16.822325531327998,0.999974,1.71837e-08
1762449502.6544478,0.0500092,2.95303e-06,16.934877058478918,0.999975,1.62569e-08
1762449503.6783092,0.0500104,2.93356e-06,17.047682679065712,0.999972,1.74899e-08
1762449504.7016501,0.0500063,2.9157e-06,17.150701375312963,0.999973,1.4696e-08
1762449505.7255933,0.0500069,2.89609e-06,17.267039353058777,0.999973,1.72381e-08
1762449506.7489502,0.0500065,2.87821e-06,17.374166582702443,0.999974,1.53977e-08
1762449507.7720547,0.0500064,2.85996e-06,17.484999790206857,0.999973,1.57274e-08
1762449508.7960963,0.0500065,2.84124e-06,17.60023792428658,0.999972,1.62595e-08
1762449510.6512313,0.0500073,2.80859e-06,17.80512641574598,0.999975,1.65781e-08
1762449511.6749694,0.0500083,2.78833e-06,17.93485706498155,0.999976,1.70432e-08
1762449512.6986604,0.0500083,2.77266e-06,18.036217927910386,0.999977,1.42219e-08
1762449513.7214804,0.0500111,2.75508e-06,18.152322255615083,0.999977,1.61899e-08
1762449514.7467232,0.0500093,2.73711e-06,18.27084041196737,0.999975,1.53055e-08
1762449515.7695286,0.0500066,2.71966e-06,18.387077796489265,0.999976,1.75401e-08
1762449516.7942653,0.050007,2.70269e-06,18.502676962581724,0.999978,1.69412e-08
1762449517.816554,0.050007,2.6862e-06,18.616260888988162,0.999978,1.51243e-08
1762449518.8397806,0.0500064,2.66764e-06,18.745557871376946,0.999976,1.69699e-08
1762449519.8636446,0.0500079,2.65228e-06,18.85468351757733,0.999977,1.75806e-08
1762449520.8864636,0.0500054,2.63572e-06,18.972197350249644,0.999976,1.58988e-08
1762449521.9105377,0.0500076,2.61845e-06,19.098168763963415,0.999976,1.6932e-08
1762449522.9340136,0.0500061,2.6039e-06,19.204308921233533,0.999976,1.75608e-08
1762449523.9577246,0.0500088,2.58709e-06,19.330135403097692,0.999975,1.68126e-08
1762449524.9813886,0.0500061,2.57128e-06,19.447940325441024,0.999972,1.64937e-08
1762449526.8366983,0.0500052,2.54114e-06,19.678254641617542,0.999974,1.70575e-08
1762449527.85992,0.0500064,2.52746e-06,19.785238935532114,0.999975,1.5163e-08
1762449528.8831916,0.0500085,2.51134e-06,19.913074294997887,0.999975,1.69689e-08
1762449529.9076924,0.0500078,2.49706e-06,20.026671365525857,0.999977,1.61731e-08
1762449530.9309156,0.0500088,2.47974e-06,20.166952987006702,0.999978,1.70393e-08
1762449531.9546487,0.0500064,2.4653e-06,20.28410335456131,0.999979,1.6446e-08
1762449532.9782588,0.0500101,2.45171e-06,20.398048708860347,0.999978,1.4971e-08
1762449534.001767,0.0500097,2.43645e-06,20.52564181493566,0.999976,1.72492e-08
1762449535.024864,0.0500118,2.4212e-06,20.65579051709896,0.999977,1.60159e-08
1762449536.0484881,0.050009,2.40412e-06,20.801374307438895,0.999975,1.76375e-08
1762449537.072574,0.0500067,2.39129e-06,20.912018199381926,0.999976,1.59183e-08
1762449538.0958889,0.0500056,2.37639e-06,21.042673971864886,0.999976,1.69484e-08
1762449539.1196446,0.0500083,2.36294e-06,21.163592812343943,0.999975,1.56204e-08
1762449540.14303,0.0500051,2.34807e-06,21.29625607413748,0.999977,1.63022e-08
1762449541.1665895,0.0500094,2.33207e-06,21.444210508260902,0.999976,1.69799e-08
1762449543.022146,0.0500064,2.30714e-06,21.67462746083896,0.999975,1.60687e-08
1762449544.045423,0.0500057,2.29126e-06,21.82454195508148,0.999974,1.76458e-08
1762449545.069324,0.050005,2.27921e-06,21.939619429539185,0.999975,1.60518e-08
1762449546.0927317,0.050006,2.2634e-06,22.093310948131133,0.999976,1.72379e-08
1762449547.1164742,0.0500079,2.25018e-06,22.223955416899983,0.999975,1.58307e-08
1762449548.1400423,0.0500058,2.23623e-06,22.361653318308047,0.999975,1.70416e-08
1762449549.1639006,0.0500057,2.22177e-06,22.50714520404902,0.999976,1.78401e-08
1762449550.187144,0.0500083,2.21011e-06,22.627063811303508,0.999976,1.55083e-08
1762449551.2107828,0.0500064,2.19541e-06,22.777704392345846,0.999976,1.69925e-08
1762449552.2345684,0.0500078,2.18136e-06,22.92505592841163,0.999977,1.64074e-08
1762449553.2582054,0.050006,2.16887e-06,23.056245879190545,0.999974,1.63079e-08
1762449554.28164,0.0500057,2.15389e-06,23.216459522074015,0.99997,1.59253e-08
1762449555.3048878,0.0500052,2.14406e-06,23.322668208912063,0.999975,1.6016e-08
1762449556.328702,0.0500063,2.12766e-06,23.502956299408737,0.999975,1.60366e-08
1762449557.3528113,0.0500078,2.1148e-06,23.646585965575937,0.999977,1.72328e-08
1762449559.2076423,0.0500064,2.09077e-06,23.917695394519725,0.999978,1.67121e-08
1762449560.2308292,0.0500096,2.07835e-06,24.062164697957513,0.999979,1.61134e-08
1762449561.25503,0.0500091,2.06732e-06,24.19030435539733,0.999979,1.58957e-08
1762449562.2780595,0.0500074,2.05194e-06,24.370790568925017,0.999975,1.56457e-08
1762449563.3022,0.0500079,2.04107e-06,24.500825547384462,0.999978,1.48165e-08
1762449564.3257768,0.0500087,2.02747e-06,24.665568417781767,0.999977,1.57922e-08
1762449565.3490725,0.0500067,2.0157e-06,24.80860247060574,0.999978,1.54812e-08
1762449566.3725376,0.0500055,2.00052e-06,24.996250974746566,0.999977,1.63414e-08
1762449567.3962631,0.0500071,1.99058e-06,25.121874026665594,0.999978,1.57153e-08
1762449568.420001,0.0500098,1.97869e-06,25.274196564393616,0.999977,1.33222e-08
1762449569.4438448,0.0500069,1.96506e-06,25.448027032253467,0.999977,1.44592e-08
1762449570.466896,0.0500065,1.95424e-06,25.588719911576877,0.999977,1.36019e-08
1762449571.4910398,0.0500057,1.94036e-06,25.771351707930492,0.999979,1.54595e-08
1762449572.5142682,0.0500042,1.93023e-06,25.90582469446646,0.99998,1.3275e-08
1762449573.537878,0.0500055,1.9181e-06,26.070330014076433,0.999978,1.52276e-08
1762449575.3933907,0.0500068,1.89631e-06,26.370582868834735,0.999975,1.41411e-08
1762449576.416842,0.0500086,1.88445e-06,26.537504311602852,0.999979,1.52937e-08
