t,drain_voltage,drain_current,drain_resistance,gate_voltage,gate_current
1761672228.03927,0.0500086,-3.8797e-09,12889.8110678661,0.999973,3.96013e-09
1761672229.06256,0.050007,-3.87338e-09,12910.4296505894,0.999975,3.7719e-09
1761672230.08672,0.0500066,-3.87424e-09,12907.4605600066,0.999977,3.8973e-09
1761672231.11017,0.0500092,-3.8684e-09,12927.618653707,0.999978,3.87317e-09
1761672232.1341,0.0500115,-3.87033e-09,12921.766361008,0.999977,3.80304e-09
1761672233.15781,0.0500117,-3.8684e-09,12928.2649157274,0.999975,3.94261e-09
1761672234.18142,0.0500094,-3.86751e-09,12930.6452989133,0.999978,3.74784e-09
1761672235.20501,0.0500103,-3.86549e-09,12937.6353321312,0.999976,3.94906e-09
1761672236.22894,0.0500089,-3.86084e-09,12952.8548191585,0.999979,3.75968e-09
1761672237.25221,0.050008,-3.86578e-09,12936.0698229077,0.999979,3.86957e-09
1761672239.10781,0.0500093,-3.85709e-09,12965.5517501536,0.999975,3.90633e-09
