t,drain_voltage,drain_current,drain_resistance,gate_voltage,gate_current
1761672348.52884,0.0500098,-1.62455e-09,30783.7862792773,0.999974,1.64722e-09
1761672349.55202,0.0500074,-1.62183e-09,30833.9345060826,0.999972,1.54802e-09
1761672350.57569,0.0500056,-1.63267e-09,30628.1122333356,0.999971,1.68966e-09
1761672352.44685,0.0500077,-1.62885e-09,30701.2309297971,0.999972,1.61674e-09
1761672353.47111,0.0500095,-1.63443e-09,30597.5171772422,0.999973,1.62156e-09
1761672354.4943,0.0500085,-1.63318e-09,30620.3235405773,0.999971,1.6785e-09
1761672355.51848,0.0500086,-1.63674e-09,30553.7837408507,0.999971,1.54611e-09
1761672356.54148,0.0500081,-1.63739e-09,30541.3493425513,0.999972,1.7002e-09
1761672357.56859,0.0500077,-1.6384e-09,30522.2778320313,0.999974,1.57481e-09
1761672358.58879,0.0500064,-1.64433e-09,30411.4137673095,0.999974,1.65635e-09
1761672359.61265,0.0500075,-1.6392e-09,30507.2596388482,0.999972,1.66321e-09
1761672360.63623,0.0500075,-1.64466e-09,30405.9805674121,0.99997,1.58471e-09
1761672361.66022,0.0500087,-1.64545e-09,30392.1115804187,0.999967,1.70983e-09
1761672362.68397,0.0500074,-1.64783e-09,30347.4266156096,0.999971,1.55969e-09
1761672363.70706,0.0500058,-1.65188e-09,30272.0536600722,0.999973,1.67935e-09
1761672364.73133,0.0500058,-1.65114e-09,30285.6208437807,0.999973,1.6399e-09
1761672365.75443,0.0500049,-1.65585e-09,30198.9310625962,0.999973,1.614e-09
1761672366.77837,0.0500067,-1.6559e-09,30199.1062262214,0.999975,1.71566e-09
1761672368.63414,0.0500072,-1.6608e-09,30110.3082851638,0.999974,1.57065e-09
1761672369.65813,0.0500086,-1.66423e-09,30049.0917721709,0.999974,1.68325e-09
1761672370.68152,0.0500098,-1.66198e-09,30090.4944704509,0.999974,1.6391e-09
1761672371.70476,0.0500072,-1.6703e-09,29939.0528647548,0.999977,1.60613e-09
1761672372.72833,0.0500075,-1.66684e-09,30001.3798564949,0.999978,1.72429e-09
1761672373.75252,0.0500069,-1.67007e-09,29942.9964013484,0.999976,1.58073e-09
1761672374.77678,0.0500097,-1.67352e-09,29882.9413451886,0.999975,1.72874e-09
1761672375.7993,0.0500053,-1.66959e-09,29950.6465659234,0.999974,1.62656e-09
1761672376.82327,0.0500059,-1.67557e-09,29844.1127496911,0.999976,1.71971e-09
