timestamp,provided_gate_voltage,provided_channel_voltage,drain_voltage,drain_current,measured_gate_voltage,measured_gate_current,rms_gate_voltage
1770920757.7141323,0.9900000000000014,0.05,0.0499995,3.21251e-06,0.989979,3.89457e-11,0.9703930339757528
1770921358.7736394,0.9900000000000014,0.05,0.0499965,3.03692e-06,0.989986,-1.60933e-12,0.9703930339757528
1770921941.8868978,0.9300000000000014,0.05,0.0499944,2.91471e-06,0.929977,8.59737e-11,0.9703933740370448
1770922560.6110303,0.9900000000000014,0.05,0.0499957,3.027e-06,0.98998,1.63317e-12,0.9636369511999838
1770923156.0773327,0.9700000000000014,0.05,0.0499968,3.08815e-06,0.969985,3.71337e-11,0.9833595037945178
1770923763.0772219,0.9900000000000014,0.05,0.0499957,3.0418e-06,0.989978,1.78015e-10,0.9572517539062891
1770924340.1966434,0.9100000000000014,0.05,0.05,3.01209e-06,0.909981,1.28376e-10,0.8861399853473115
1770924890.8677006,0.7400000000000012,0.05,0.0499962,2.60298e-06,0.740007,-4.39835e-10,0.860631043771565
1770925545.4262488,0.9200000000000014,0.05,0.0500003,3.09578e-06,0.91999,1.11103e-11,0.8467341771437676
1770926131.9041698,0.8700000000000013,0.05,0.0499997,3.01777e-06,0.869991,-3.72529e-11,0.8935589516739602
1770926739.0056949,0.8900000000000013,0.05,0.0499968,3.03465e-06,0.889987,1.34051e-10,0.8901370831705268
1770927345.7696939,0.9100000000000014,0.05,0.0499929,3.06005e-06,0.909984,-5.34892e-11,0.9000243590233175
1770927944.0523832,0.9000000000000014,0.05,0.0499969,3.09277e-06,0.899991,2.49577e-10,0.9000236997920296
1770928541.8086953,0.8900000000000013,0.05,0.0499976,3.09717e-06,0.889985,4.41432e-11,0.8933327861685514
1770929143.0495276,0.8900000000000013,0.05,0.0499952,3.09411e-06,0.889985,-8.4281e-11,0.8933321145335592
1770929746.8661835,0.9000000000000014,0.05,0.0499989,3.12478e-06,0.899989,2.27392e-10,0.8966657312031056
1770930347.9762635,0.9000000000000014,0.05,0.0499969,3.07346e-06,0.899986,1.70481e-10,0.8933730464447648
1770930943.3362126,0.8800000000000013,0.05,0.0500018,3.08872e-06,0.879995,-6.9809e-11,0.8867103999655129
1770931543.9392402,0.8800000000000013,0.05,0.0500032,3.11101e-06,0.88,1.72937e-10,0.9181255324883412
1770932178.029088,0.9900000000000014,0.05,0.0500038,2.90255e-06,0.989986,3.21388e-11,0.9278197778241563
