t,drain_voltage,drain_current,drain_resistance,gate_voltage,gate_current
1761672129.878054,0.0500094,-2.59376e-10,192806.58195052744,0.999972,1.3876e-10
1761672130.9015865,0.0500078,-2.52986e-10,197670.22681096976,0.999973,2.424e-10
1761672131.9254057,0.0500089,-2.57862e-10,193936.6793090878,0.999973,2.25234e-10
1761672132.9490893,0.0500069,-2.54345e-10,196610.50934753974,0.999972,2.82598e-10
1761672133.9726248,0.0500087,-2.56133e-10,195245.04847091163,0.999972,1.83296e-10
1761672134.9965067,0.0500093,-2.54726e-10,196325.8560178388,0.99997,3.05402e-10
1761672136.0204818,0.0500085,-2.56431e-10,195017.37309451663,0.999971,1.75869e-10
1761672137.0436556,0.0500078,-2.56681e-10,194824.70459441876,0.999974,2.84529e-10
1761672138.067822,0.050009,-2.53165e-10,197535.20431339243,0.999971,2.18844e-10
1761672139.09157,0.0500071,-2.56968e-10,194604.38653840168,0.99997,2.37715e-10
1761672140.1149237,0.0500093,-2.52569e-10,198002.52604238843,0.999972,2.85411e-10
1761672141.9702127,0.0500094,-2.55108e-10,196032.26868620352,0.999974,1.74463e-10
1761672142.9938946,0.0500127,-2.54166e-10,196771.7948112651,0.999974,2.96259e-10
1761672144.0173903,0.0500075,-2.5475e-10,196300.29440628068,0.999977,2.02656e-10
1761672145.0411317,0.050007,-2.5636e-10,195065.53284443755,0.999976,2.27606e-10
1761672146.0651383,0.0500076,-2.50304e-10,199787.4584505242,0.99998,2.69973e-10
1761672147.0886917,0.05001,-2.60448e-10,192015.2967194987,0.999978,1.97911e-10
1761672148.1286397,0.0500084,-2.68185e-10,186469.78764658724,0.999975,3.01671e-10
1761672149.152028,0.0500075,-2.49815e-10,200178.131817545,0.999976,1.79517e-10
1761672150.1754105,0.0500067,-2.55644e-10,195610.69299494612,0.999974,2.74837e-10
1761672151.2001326,0.0500077,-2.46394e-10,202958.27008774568,0.999975,1.58548e-10
1761672152.222969,0.0500085,-2.58768e-10,193256.12131329993,0.999976,2.59912e-10
1761672153.2463446,0.0500039,-2.51174e-10,199080.71695318783,0.999976,2.87342e-10
1761672154.2706645,0.0500077,-2.51341e-10,198963.55946701893,0.999976,1.89865e-10
1761672155.293762,0.0500065,-2.47717e-10,201869.47201847268,0.999973,2.98917e-10
1761672156.3180242,0.0500088,-2.51341e-10,198967.93599134244,0.999975,1.96481e-10
1761672158.172658,0.0500093,-2.51341e-10,198969.92532058043,0.999975,2.10214e-10
1761672159.196532,0.0500082,-2.51102e-10,199154.9250902024,0.999974,2.86841e-10
1761672160.220236,0.0500088,-2.52354e-10,198169.23845074777,0.999975,1.63496e-10
1761672161.2437463,0.0500074,-2.60508e-10,191961.09140602208,0.999975,2.16663e-10
1761672162.2680323,0.0500085,-2.78223e-10,179742.50870704433,0.999977,1.75107e-10
1761672163.2916722,0.0500088,-2.67541e-10,186920.13560538384,0.999979,7.42247e-09
1761672164.3149571,0.0500124,-6.6674e-09,7501.034886162522,0.999977,6.34491e-09
1761672165.3387945,0.0500092,-5.8622e-09,8530.790488212615,0.999975,5.65342e-09
1761672166.3622308,0.0500092,-5.51729e-09,9064.087622727824,0.999973,5.54867e-09
1761672167.385547,0.0500082,-5.19547e-09,9625.346696256549,0.999973,5.26386e-09
1761672168.4090981,0.0500084,-5.31042e-09,9417.032927715698,0.999972,5.37083e-09
1761672169.4333937,0.0500096,-5.34347e-09,9359.01202776473,0.999972,5.17879e-09
1761672170.4571233,0.0500117,-5.14637e-09,9717.859384381612,0.999975,5.03627e-09
1761672171.4805152,0.050011,-5.8704e-09,8519.180975742709,0.999973,5.75166e-09
1761672172.5039768,0.0500101,-5.48106e-09,9124.165763556684,0.999974,5.09975e-09
1761672174.3595402,0.0500108,-5.05128e-09,9900.619248982437,0.999978,5.02055e-09
1761672175.383125,0.0500105,-4.8632e-09,10283.455338049022,0.999979,4.76658e-09
1761672176.4067914,0.0500092,-4.73441e-09,10562.921251011212,0.999978,4.69651e-09
1761672177.4304066,0.0500082,-4.59596e-09,10880.904098382058,0.999976,4.58843e-09
1761672178.4543736,0.050008,-4.48947e-09,11138.954041345638,0.999977,4.32621e-09
1761672179.4777982,0.0500066,-4.4235e-09,11304.75867525715,0.999978,4.47513e-09
1761672180.502207,0.0500081,-4.34269e-09,11515.466220245977,0.999979,4.17188e-09
1761672181.5253947,0.0500085,-4.28319e-09,11675.526885335461,0.999979,4.29506e-09
1761672182.5495112,0.0500088,-4.10771e-09,12174.374529847531,0.999978,4.08231e-09
1761672183.5725858,0.0500074,-4.10959e-09,12168.46449402495,0.999978,4.04867e-09
1761672184.5963323,0.0500082,-4.05233e-09,12340.604047547955,0.99998,4.10471e-09
1761672185.619897,0.050007,-4.00277e-09,12493.098529268482,0.999979,3.86618e-09
1761672186.6441019,0.0500065,-3.97466e-09,12581.327711049498,0.999977,4.03544e-09
1761672187.6674542,0.0500042,-3.93007e-09,12723.488385703053,0.999978,3.82974e-09
1761672188.6911478,0.0500038,-3.89935e-09,12823.624450228885,0.999972,3.85647e-09
1761672190.546541,0.0500062,-3.94499e-09,12675.874970532244,0.999975,3.8693e-09
1761672191.570661,0.0500053,-3.81634e-09,13102.946802433746,0.999975,3.68781e-09
1761672192.5940936,0.0500051,-3.79596e-09,13173.242078420215,0.999974,3.8693e-09
1761672193.6183736,0.0500015,-3.75102e-09,13330.107544081344,0.999974,3.64916e-09
1761672194.641288,0.0500048,-3.74767e-09,13342.903724180625,0.999975,3.74858e-09
1761672195.6658487,0.0500043,-3.7105e-09,13476.431747742894,0.999972,3.6882e-09
1761672196.6895862,0.050008,-3.69645e-09,13528.655872526342,0.999974,3.63054e-09
1761672197.7124407,0.0500078,-3.73237e-09,13398.40369523922,0.999974,3.82435e-09
1761672198.7360766,0.0500061,-3.75471e-09,13318.232300230911,0.999973,3.64014e-09
1761672199.7598407,0.0500089,-3.76054e-09,13298.329495232068,0.999973,3.85276e-09
1761672200.7837794,0.0500112,-4.00852e-09,12476.225639388103,0.999973,3.75658e-09
1761672201.8070822,0.0500097,-3.9075e-09,12798.3877159309,0.999975,3.91426e-09
1761672202.8309622,0.0500089,-3.91239e-09,12782.186847425743,0.999974,3.95297e-09
1761672203.854554,0.0500049,-3.94243e-09,12683.776249673427,0.999976,3.86201e-09
1761672204.8782883,0.0500072,-3.94593e-09,12673.108747494252,0.999976,4.03744e-09
1761672206.733902,0.0500063,-3.95052e-09,12658.156394601216,0.999978,3.85383e-09
1761672207.7574658,0.0500073,-3.94384e-09,12679.850095338554,0.999977,3.99876e-09
1761672208.7810235,0.0500063,-3.94886e-09,12663.477560612428,0.999976,3.91463e-09
1761672209.8044434,0.0500053,-3.95126e-09,12655.532665529476,0.999977,3.91843e-09
1761672210.829115,0.0500058,-3.94489e-09,12676.094897449615,0.999976,3.99389e-09
1761672211.8520558,0.0500064,-3.94654e-09,12670.947209454356,0.999975,3.82719e-09
1761672212.875697,0.0500062,-3.94149e-09,12687.131008831686,0.999975,4.02557e-09
1761672213.8997421,0.0500079,-3.93474e-09,12709.327681117431,0.999976,3.81433e-09
1761672214.9248307,0.0500096,-3.93263e-09,12716.578981495844,0.999978,3.97211e-09
1761672215.9471028,0.0500093,-3.91439e-09,12775.758164107308,0.999977,3.87834e-09
1761672216.9705236,0.0500098,-3.91095e-09,12787.123333205487,0.999978,3.86214e-09
1761672217.9940805,0.0500076,-3.89297e-09,12845.616585794392,0.999977,4.02442e-09
1761672219.0180392,0.0500086,-3.90563e-09,12804.233888002705,0.999977,3.79145e-09
1761672220.0416143,0.0500066,-3.89524e-09,12837.873917910063,0.999975,3.98361e-09
1761672221.0652826,0.0500086,-3.88993e-09,12855.912574262264,0.999979,3.78644e-09
1761672222.9206553,0.0500101,-3.88713e-09,12865.558908500616,0.999976,3.89469e-09
1761672223.9446,0.0500102,-3.87994e-09,12889.426125146267,0.999974,3.88427e-09
1761672224.9684236,0.050006,-3.88374e-09,12875.733185022684,0.999975,3.79846e-09
1761672225.9915538,0.0500092,-3.87625e-09,12901.438245727186,0.999974,3.95794e-09
1761672227.0157006,0.0500092,-3.88074e-09,12886.511335466945,0.999973,3.75874e-09
1761672228.0392678,0.0500086,-3.8797e-09,12889.811067866072,0.999973,3.96013e-09
1761672229.062558,0.050007,-3.87338e-09,12910.42965058941,0.999975,3.7719e-09
1761672230.086715,0.0500066,-3.87424e-09,12907.460560006608,0.999977,3.8973e-09
1761672231.1101718,0.0500092,-3.8684e-09,12927.61865370696,0.999978,3.87317e-09
1761672232.134102,0.0500115,-3.87033e-09,12921.766361007976,0.999977,3.80304e-09
1761672233.1578093,0.0500117,-3.8684e-09,12928.264915727434,0.999975,3.94261e-09
1761672234.181423,0.0500094,-3.86751e-09,12930.645298913256,0.999978,3.74784e-09
1761672235.2050123,0.0500103,-3.86549e-09,12937.635332131244,0.999976,3.94906e-09
1761672236.2289433,0.0500089,-3.86084e-09,12952.854819158527,0.999979,3.75968e-09
1761672237.2522132,0.050008,-3.86578e-09,12936.069822907666,0.999979,3.86957e-09
1761672239.1078074,0.0500093,-3.85709e-09,12965.551750153612,0.999975,3.90633e-09
1761672240.13167,0.0500116,-3.85755e-09,12964.601884615884,0.999979,3.75388e-09
1761672241.1556668,0.0500115,-3.85389e-09,12976.88828689973,0.99998,3.93775e-09
1761672242.1790488,0.0500117,-3.85257e-09,12981.386451122238,0.999977,3.74249e-09
1761672243.202734,0.0500086,-3.85541e-09,12971.019943404204,0.999979,3.91538e-09
1761672244.226445,0.0500076,-3.84996e-09,12989.12196490353,0.999978,3.80307e-09
1761672245.2503984,0.0500067,-3.85628e-09,12967.600900349562,0.999977,3.81871e-09
1761672246.2737765,0.0500075,-3.84946e-09,12990.783122827619,0.999977,3.8992e-09
1761672247.2974267,0.0500087,-3.85084e-09,12986.439322329674,0.999976,3.72863e-09
1761672248.3210454,0.0500099,-3.85562e-09,12970.650634657979,0.999978,3.93149e-09
1761672249.3449001,0.0500095,-3.84409e-09,13009.45087133756,0.999977,3.76194e-09
1761672250.3682115,0.0500077,-3.84997e-09,12989.114200889879,0.999974,3.85393e-09
1761672251.3922324,0.0500074,-3.8424e-09,13014.62627524464,0.999975,3.85722e-09
1761672252.4161139,0.0500083,-3.84471e-09,13007.04084313251,0.999975,3.77001e-09
1761672253.4394777,0.0500091,-3.84356e-09,13011.140713297049,0.999972,3.93261e-09
1761672255.2946754,0.0500106,-3.8421e-09,13016.475365034747,0.999972,3.75839e-09
1761672256.3191152,0.0500113,-3.8451e-09,13006.501781488128,0.999974,3.8642e-09
1761672257.3426127,0.0500121,-3.83996e-09,13024.120042917113,0.999977,3.84107e-09
1761672258.3661976,0.0500125,-3.84088e-09,13021.10453854325,0.999978,3.75901e-09
1761672259.3897173,0.0500093,-3.84241e-09,13015.08688557442,0.999975,3.92716e-09
1761672260.4134202,0.0500048,-3.83832e-09,13027.782988390756,0.999976,3.72869e-09
1761672261.4367287,0.0500059,-3.84258e-09,13013.626261522206,0.999975,3.88651e-09
1761672262.460494,0.0500081,-3.83567e-09,13037.644010042572,0.999975,3.80701e-09
1761672263.4842868,0.0500072,-3.84122e-09,13018.572224449525,0.999975,3.79419e-09
1761672264.5079122,0.0500088,-3.83687e-09,13033.748863005523,0.999975,3.90984e-09
1761672265.5320556,0.0500074,-3.83794e-09,13029.750334815031,0.999974,3.72064e-09
1761672266.5553353,0.0500088,-3.83961e-09,13024.44779547923,0.999975,3.92154e-09
1761672267.5791452,0.0500093,-3.83363e-09,13044.894786403487,0.999977,3.73746e-09
1761672268.6031947,0.050008,-3.84026e-09,13022.034966382484,0.999976,3.83536e-09
1761672269.6269493,0.0500092,-3.83773e-09,13030.932348028651,0.999975,3.87708e-09
1761672271.4816673,0.050007,-3.83669e-09,13033.89119266868,0.999972,3.72121e-09
1761672272.5057878,0.0500111,-3.84215e-09,13016.436109990502,0.999975,3.91254e-09
1761672273.5348892,0.0500099,-3.83692e-09,13033.865704784046,0.999975,3.79336e-09
1761672274.5687056,0.0500076,-3.84011e-09,13022.439461369595,0.999973,3.76821e-09
1761672275.5927832,0.0500069,-3.8362e-09,13035.529951514522,0.999971,3.91986e-09
1761672276.6160507,0.0500101,-3.83712e-09,13033.238470519556,0.999972,3.71644e-09
1761672277.6395912,0.0500029,-3.83939e-09,13023.657403910518,0.999971,3.89613e-09
1761672278.6639025,0.050006,-3.83413e-09,13042.33294124091,0.999971,3.75639e-09
1761672279.6869094,0.0500073,-3.83979e-09,13023.44659473565,0.999973,3.79106e-09
1761672280.7107887,0.0500096,-3.83884e-09,13027.268654072584,0.999974,3.89683e-09
1761672281.7341597,0.0500097,-3.83061e-09,13055.28362323494,0.999976,3.7128e-09
1761672282.7578576,0.0500106,-3.8439e-09,13010.38008272848,0.999975,3.92166e-09
1761672283.7814834,0.0500064,-3.82919e-09,13059.263186209093,0.999975,3.73242e-09
1761672284.8053412,0.0500068,-3.76426e-09,13284.629648323971,0.999978,3.92511e-09
1761672285.8291347,0.0500104,-3.84003e-09,13023.439921042285,0.999977,3.88507e-09
1761672287.684597,0.0500066,-3.83205e-09,13049.56876867473,0.999974,3.72658e-09
1761672288.7084265,0.0500059,-3.84291e-09,13012.508749879647,0.999972,3.92187e-09
1761672289.7317536,0.0500099,-3.83226e-09,13049.714789706335,0.999974,3.75444e-09
1761672290.75569,0.0500088,-3.84051e-09,13021.395595897422,0.999973,3.83993e-09
1761672291.779368,0.0500061,-3.83605e-09,13035.831128374239,0.999969,3.84562e-09
1761672292.8029041,0.0500101,-3.83576e-09,13037.859511543997,0.999973,3.73882e-09
1761672293.8270037,0.0500097,-3.84514e-09,13005.950368517142,0.999972,3.92774e-09
1761672294.853548,0.0500104,-3.8313e-09,13053.115130634511,0.999971,3.70237e-09
1761672295.8739538,0.0500089,-3.85829e-09,12961.4155493755,0.999974,3.78535e-09
1761672296.8973382,0.0500077,-3.77918e-09,13232.420789695121,0.999973,4.36341e-09
1761672297.9215543,0.0500069,-3.62964e-09,13777.371860570194,0.999972,3.78911e-09
1761672298.9447937,0.0500067,-3.8406e-09,13020.543665052335,0.999971,3.80052e-09
1761672299.9687376,0.0500061,-3.73161e-09,13400.676919613787,0.999973,3.62358e-09
1761672300.992009,0.0500094,-3.7353e-09,13388.322223114612,0.999973,3.8165e-09
1761672302.0161984,0.0500083,-3.72373e-09,13429.625671034151,0.999973,3.65694e-09
1761672303.8714628,0.0500091,-3.72596e-09,13421.802703195954,0.999975,3.69023e-09
1761672304.8953505,0.0500097,-3.72616e-09,13421.243317517228,0.999974,3.79391e-09
1761672305.9187129,0.0500079,-3.71681e-09,13454.521484821662,0.999976,3.62872e-09
1761672306.9435618,0.0500095,-3.7342e-09,13392.292860585936,0.999979,3.80745e-09
1761672307.9664967,0.0500103,-3.71516e-09,13461.142992495614,0.999976,3.57804e-09
1761672308.9896934,0.0500097,-3.75994e-09,13300.664372303812,0.999976,3.7503e-09
1761672310.013636,0.0500103,-3.79272e-09,13185.866607606153,0.999977,3.82502e-09
1761672311.0371222,0.0500077,-3.71516e-09,13460.44315722607,0.999975,3.59843e-09
1761672312.0608013,0.050007,-3.67936e-09,13591.222386502002,0.999976,3.75004e-09
1761672313.0850456,0.0500069,-3.65828e-09,13669.511355063036,0.999976,3.53805e-09
1761672314.1080792,0.0500083,-3.66111e-09,13659.327362466574,0.999976,3.71709e-09
